  Number  Name                   Base kV    Type    Load MW    Load Mvar     Gen. MW    Set. kV    Mvar fixed    Mvar var.
    1710  PAN-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1712  CND-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1713  TFM-691                69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1714  TFM-692                69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1715  TFM-69                 69.0000       1     3.9750       0.1870      0.0000   nan             0.0000       0.0000
    1716  JUT-138               138.0000       1     5.0040       0.7050      0.0000   nan             0.0000       0.0000
    1718  TEL-69                 69.0000       1     2.9640       0.0390      0.0000   nan             0.0000       0.0000
    1719  SYX-69                 69.0000       1     2.1390       0.0240      0.0000   nan             0.0000       0.0000
    1721  PNZ-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1730  IZA-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1732  MOR-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1735  IZA-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1736  MOR-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1747  CHO-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1755  GCS-138               138.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1756  REN-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1758  STS-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1762  AMI-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1763  AMI-13                 13.8000       1     6.9550       2.7310      0.0000   nan             0.0000       0.0000
    1764  VDA-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1767  LLB-691                69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1768  LLB-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       1.8000
    1769  LLB-34                 34.5000       1     1.1590       0.1880      0.0000   nan             0.0000       0.0000
    1770  LVG-132                13.8000       1     1.1590       0.1880      0.0000   nan             0.0000       0.0000
    1771  SAS-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1772  SAS-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1775  MNL-13                 13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1776  LCU-138               138.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1777  LCU-34                 34.5000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1778  LCU-341                34.5000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1793  INC-230               230.0000       1    54.6450       4.9780      0.0000   nan             0.0000       0.0000
    1795  HRU-138               138.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1806  GEC-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1810  PAT-69                 69.0000       1    16.2630       3.1660      0.0000   nan             0.0000       0.0000
