  From number    To number  From name           To name             ID      In service    R (pu)    X (pu)    Tap ratio (pu)    Capacity (MVA)
         3006         3029  CRL_U02_13.800      CRL_B501_138.00     1                1    0.0000    0.1482            1.0000           20.0000
         3007         3098  RLN_U01_13.800      RLN_B521_138.00     1                1    0.0000    0.1156            1.0000           24.0000
         3008         3098  RLN_U02_13.800      RLN_B521_138.00     1                1    0.0000    0.1156            1.0000           24.0000
         3009         3098  RLN_U03_13.800      RLN_B521_138.00     1                1    0.0000    0.0825            1.0000           25.0000
         3010         3098  RLN_U04_13.800      RLN_B521_138.00     1                1    0.0000    0.0873            1.0000           25.0000
         3011         3089  NIS_U01_13.800      NIS_B439_69.000     1                1    0.0000    0.6160            1.0000           25.0000
         3012         3080  LUV_B241_13.800     LUV_B621_230.00     1                1    0.0061    0.2565            1.0250           46.0000
         3013         3080  LUV_B242_13.800     LUV_B621_230.00     1                1    0.0061    0.2565            1.0250           46.0000
         3014         3080  LUV_B243_13.800     LUV_B621_230.00     1                1    0.0109    0.3457            1.0250           35.0000
         3015         3079  LSL_U01_13.800      LSL_B628_230.00     1                1    0.0000    0.3833            1.0000           50.0000
         3016         3085  MFL_B212_13.800     MFL_B523_138.00     1                1    0.0000    0.3100            0.9531           50.0000
         3017         3078  LPT_B202_13.800     LPT_B503_138.00     1                1    0.0000    0.6160            0.9531           25.0000
         3020         3116  TAL_B217_13.800     TAL_B404_69.000     1                1    0.0000    0.1768            1.0000           41.3000
         3021         3122  TSZ_B257_13.800     TSZ_B526_138.00     1                1    0.0000    0.2938            1.0000           41.8000
         3022         3179  LVI_B238_13.800     TER_LVI_138_138.00  1                1    0.0000    0.3003            0.9625           50.0000
         3024         3095  PGR_B318_34.500     PGR_B603_230.00     1                1    0.0000    0.3063            0.9625           50.0000
         3025         3088  CJL_4.16KV_4.1600   NIS_B310_34.500     1                1    0.0000    1.2000            1.0187            3.5000
         3026         3101  SFE_B215_13.800     SFE_B505_138.00     1                1    0.0000    0.3227            0.9531           50.0000
         3027         3148  CTE_B307_34.500     NIC_U05_0.4800      1                1    0.0000    0.1840            1.0000           32.6000
         3027         3182  CTE_B307_34.500     SJP_U01_13.800      1                1    0.0000    0.8100            1.0000            8.0000
         3027         3568  CTE_B307_34.500     LLA_4.16KV_4.1600   1                1    0.0000    3.4286            1.0000            3.5000
         3027         3569  CTE_B307_34.500     LLA_4.16KV_4.1600   1                1    0.0000    3.4286            1.0000            3.5000
         3028         3600  SMT_B234_13.800     SMT_69KV_69.000     1                1    0.0000    0.8934            0.9625           12.5000
         3030         3033  SUY_B515_138.00     SUY_B612_230.00     1                1    0.0000    0.1310            0.9531          100.0000
         3030         3112  SUY_B515_138.00     SUY_B203_13.800     1                1    0.0000    0.3111            0.9531           50.0000
         3030         3417  SUY_B515_138.00     SUY_B223_13.800     1                1    0.0000    0.4200            0.9625           25.0000
         3031         3130  CDA_B530_138.00     CDA_B210_13.800     1                1    0.0000    0.3100            0.9531           50.0000
         3033         3417  SUY_B612_230.00     SUY_B223_13.800     1                0    0.0000    0.5400            0.9250           44.8000
         3035         3037  BER_B205_13.800     BER_B507_138.00     1                1    0.0000    0.3100            0.9625           50.0000
         3036         3136  BER_B410_69.000     BER_13.8KV_13.800   1                1    0.0000    0.4800            0.9906           25.0000
         3037         3096  BER_B507_138.00     BER_B206_13.800     1                1    0.0000    0.3003            0.9531           50.0000
         3037         3290  BER_B507_138.00     BER_UM510_13.800    1                1    0.0000    0.2464            0.9625           25.0000
         3039         3040  BIJ_4.16KV_4.1600   BIJ_B562_138.00     1                1    0.0000    0.6667            0.9812           15.0000
         3039         3040  BIJ_4.16KV_4.1600   BIJ_B562_138.00     2                1    0.0000    0.6667            0.9812           15.0000
         3042         3176  BOR_B332_34.500     ACE_U01_4.1600      1                1    0.0000    4.8000            1.0000            2.5000
         3042         3218  BOR_B332_34.500     BETUL_0.48_0.5000   1                1    0.0000    1.2000            0.9812           10.0000
